CityID,CityName,GovernorateID
1,القدس,6
2,يافا,13
3,حيفا,15
4,عكا,3
5,الرملة,16
6,اللد,8
7,الناصرة,15
8,صفد,9
9,طبريا,15
10,بيسان,12
11,بئر السبع,12
12,غزة,1
13,خانيونس,10
14,رفح,12
15,دير البلح,10
16,بيت لاهيا,6
17,بيت حانون,1
18,جباليا,15
19,الخليل,4
20,بيت لحم,3
21,رام الله,9
22,البيرة,11
23,أريحا,12
24,نابلس,15
25,جنين,7
26,طولكرم,13
27,قلقيلية,9
28,سلفيت,1
29,طوباس,4
30,يطا,10
31,حلحول,2
32,دورا,3
33,الظاهرية,1
34,السموع,1
35,تفوح,12
36,سعير,11
37,الشيوخ,10
38,صوريف,6
39,نوبا,9
40,بيت ساحور,6
41,بيت جالا,14
42,الخضر,3
43,الدوحة,10
44,بيت فجار,11
45,العيزرية,10
46,أبو ديس,10
47,الرام,16
48,بدّو,15
49,قطنة,14
50,بيتونيا,2
51,بيرزيت,5
52,سلواد,14
53,سنجل,7
54,ترمسعيا,10
55,دير دبوان,11
56,يعبد,12
57,قباطية,9
58,عرابة,7
59,الزبابدة,15
60,ميثلون,12
61,سيلة الظهر,1
62,برقين,11
63,عنبتا,11
64,عتيل,4
65,دير الغصون,8
66,بلعا,2
67,باقة الشرقية,5
68,قفين,15
69,عزون,14
70,حبلة,13
71,بديا,9
72,الزاوية,2
73,قراوة بني حسان,12
74,طمون,5
75,عقابا,8
76,سخنين,10
77,شفا عمرو,11
78,أم الفحم,10
79,باقة الغربية,1
80,الطيبة,8
81,الطيرة,15
82,قلنسوة,1
83,كفر قاسم,1
84,رهط,10
85,عرابة,4
86,المغار,10
87,طمرة,16
88,عيلوط,16
89,مجد الكروم,13
