NationalityID,NationalityName
1,أفغاني
2,ألباني
3,جزائري
4,أمريكي
5,أندوري
6,أنغولي
7,أرجنتيني
8,أرمني
9,أسترالي
10,نمساوي
11,أذربيجاني
12,باهامي
13,بحريني
14,بنغلاديشي
15,باربادوسي
16,بيلاروسي
17,بلجيكي
18,بليزي
19,بنيني
20,بوتاني
21,بوليفي
22,بوسني
23,بوتسواني
24,برازيلي
25,بريطاني
26,بروني
27,بلغاري
28,بوركيني
29,بوروندي
30,كمبودي
31,كاميروني
32,كندي
33,رأس أخضري
34,تشادي
35,شيلي
36,صيني
37,كولومبي
38,قمري
39,كونغولي
40,كوستاريكي
41,كرواتي
42,كوبي
43,قبرصي
44,تشيكي
45,دنماركي
46,جيبوتي
47,دومينيكاني
48,إكوادوري
49,مصري
50,سلفادوري
51,غيني استوائي
52,إريتري
53,إستوني
54,إثيوبي
55,فيجي
56,فنلندي
57,فرنسي
58,غابوني
59,غامبي
60,جورجي
61,ألماني
62,غاني
63,يوناني
64,غرينادي
65,غواتيمالي
66,غيني
67,غياني
68,هايتي
69,هندوراسي
70,مجري
71,أيسلندي
72,هندي
73,إندونيسي
74,إيراني
75,عراقي
76,أيرلندي
77,إسرائيلي
78,إيطالي
79,إيفواري
80,جامايكي
81,ياباني
82,أردني
83,كازاخستاني
84,كيني
85,كيريباتي
86,كويتي
87,قرغيزي
88,لاوسي
89,لاتفي
90,لبناني
91,ليسوثي
92,ليبيري
93,ليبي
94,ليختنشتايني
95,ليتواني
96,لوكسمبورغي
97,مقدوني
98,مدغشقري
99,مالاوي
100,ماليزي
101,مالديفي
102,مالي
103,مالطي
104,موريتاني
105,موريشيوسي
106,مكسيكي
107,مولدوفي
108,موناكوي
109,منغولي
110,جبل أسود
111,مغربي
112,موزمبيقي
113,ميانماري
114,ناميبي
115,ناوروي
116,نيبالي
117,هولندي
118,نيوزيلندي
119,نيكاراغوي
120,نيجري
121,نيجيري
122,كوري شمالي
123,نرويجي
124,عماني
125,باكستاني
126,فلسطيني
127,بنَمي
128,بابوا غينيا الجديدة
129,باراغواي
130,بيروفي
131,فلبيني
132,بولندي
133,برتغالي
134,قطري
135,روماني
136,روسي
137,رواندي
138,سانت لوسيا
139,ساموي
140,سعودي
141,سنغالي
142,صربي
143,سيشلي
144,سيراليوني
145,سنغافوري
146,سلوفاكي
147,سلوفيني
148,صومالي
149,جنوب أفريقي
150,كوري جنوبي
151,إسباني
152,سريلانكي
153,سوداني
154,سورينامي
155,سوازيلندي
156,سويدي
157,سويسري
158,سوري
159,تايواني
160,طاجيكي
161,تنزاني
162,تايلاندي
163,توغولي
164,تونسي
165,تركي
166,تركماني
167,أوغندي
168,أوكراني
169,إماراتي
170,أوروغوياني
171,أوزبكي
172,فنزويلي
173,فيتنامي
174,يمني
175,زامبي
176,زيمبابوي
